a              .6 -w
learning       .l3nIN -w
learns         .l3nz -w
leash          .liS -w
least          .list -w
leave          .liv -w
leaves         .livz -w
leaving        .livIN -w
led	.lEd -w 
ledge	.lEG -w 
lee	.li -w 
left           .lEft -w
leftie	.lEfti -w 
leftover	.lEftovR -w 
leftovers	.lEftovRz -w 
lefty	.lEfti -w 
leg            .lEg -w
legend	.lEGEnd -w 
leggie	.lEgi -w 
leggings	.lEgINz -w 
lego           .lEgo -w
legos	.lEgoz -w 
legs           .lEgz -w
lemme       .lEmi -w
lemon          .lEm~ -w
lemons       .lEm~z -w
lena           .lin6 -w
lena's         .lin6z -w
leopard	.lEpRd -w 
less           .lEs -w
let            .lEt -w
let's          .lEts -w
lets           .lEts -w
letter         .lEtR -w
letters        .lEtRz -w
letting        .lEtIN -w
lettuce         .lEt6s -w
level	.lEvL -w 
lever	.lEvR -w 
levis            .liv9z -w
lexington      .lEksINt~ -w
library	.lIbr6ri -w 
lick           .lIk -w
licked	.lIkt -w 
licking        .lIkIN -w
licks	.lIks -w 
lid            .lId -w
lid's          .lIdz -w
lids	.lIdz -w 
lie            .l9 -w
lied           .l9d -w
lies           .l9z -w
life           .l9f -w
lifesaver      .l9fsevR -w
lifesavers      .l9fsevRz -w
lift           .lIft -w
liftie	.lIfti -w 
lifting        .lIftIN -w
lifts          .lIfts -w
light          .l9t -w
light's	.l9ts -w 
lightbulb	.l9tbAlb -w 
lightbulbs	.l9tbAlbz -w 
lighted	.l9t6d 
lightening	.l9tnIN -w 
lighter	.l9tR -w 
lightning	.l9tnIN -w 
lights         .l9ts -w
lightyear	.l9ty( -w 
like           .l9k -w
liked          .l9kt -w
likely	.l9kli -w	 
likes          .l9ks -w
liking	.l9kIN -w 
lil	.lIl -w 
lilies	.lIliz -w 
lillian	.lIli~ -w 
lily	.lIli -w 
lilypad	.lIlip&d -w 
lima           .l9m6 -w
limbs	.lImz -w 
lime 	.l9m -w
limit          .lImIt -w
limits	.lImIts -w 
linda	.lInd& -w  
lindsey's      .lIndziz -w
line           .l9n -w
lined	.l9nd -w 
linen	.lInEn -w 
lingo	.lINgo -w 
lining         .l9nIN -w
links	.lINk -w 
lint	.lInt -w 
lion           .l9~ -w
lions          .l9~z -w
lip            .lIp -s
lippie	.lIpi -w 
lips           .lIps -w
lipstick       .lIpstIk -w
liquid         .lIkwId -w
liquids	.lIkwIdz -w 
lisa	.lis6 -w 
list           .lIst -w
listen         .lIs~ -w
listened	.lIs~d -w 
listening      .lIs~IN -w
listens        .lIs~z -w
lists	.lIsts -w 
lit	.lIt -w 
liter	.litR -w 
litter           .lItR -w
litters           .lItRz -w
little         .lItL -w
littler	.lItLR -w 
littlest	.lItLEst -w 
live           .lIv -w
lived	.lIvd -w 
liver          .lIvR -w
lives          .lIvz -w
living         .lIvIN -w
liz	.lIz -w 
lizard	.lIZRd -w 
lizard's	.lIzRdz -w 
load	.lod -w 
loads	.lodz -w 
loaf            .lof -w
loan           .lon -w
loans          .lonz -w
loaves         .lovz -w
lobster .lObstR -w
lobsters   .lObstRz -w
lock           .lak -w
locked         .lakt -w
locking      .lakIN -w
locks         .laks -w
log	.lOg -w 
lola	.lol6 -w 
lollipop       .lalipap -w
lollipops      .lalipaps -w
lolly	.lOli -w 
lolo             .lolo -w
london          .lAndAn -w
lonely	.lonli -w  
lonesome       .lonsM -w
long           .lON -w
longed	.lONgd -w 
longer         .lONgR -w
longest        .lONgEst -w    
look           .lUk -w
looka	.lUk6 -w 
looked         .lUkt -w
lookee	.lUki -w 
lookie          .lUki -w
looking        .lUkIN -w
lookit           .lUkIt -w
looks          .lUks -w
loom	.lum -w 
looneytoons	.luni -w .tunz -w 
loons	.lunz -w 
loop	.lup -w 
looped	.lupt -w 
loops	.lups -w 
loose          .lus -w
loosed	.lust -w 
loosen	.lus~ -w 
loosens	.lus~z -w 
lop	.lap -w 
lopsided	.laps9dEd -w 
lord 	.l%d -w
lord's	.l%dz -w 
lordie	.l%di -w 
lordy	.l%di -w 
loren          .l%~ -w
lori 	.loRi -w
lose           .luz -w
loses          .luzIz -w
losing         .luzIN -w
lost           .lOst -w
lot            .lat -w
lot's          .lats -w
lotion         .loS~ -w
lots           .lats -w
lou	.lu -w 
loud           .lQd -w
louder	.lQdR -w 
loudie	.lQdi -w 
love           .lAv -w
loved          .lAvd -w
lovely         .lAvli -w
lover	.lAvR -w 
loves          .lAvz -w
lovie	.lAvi -w
loving         .lAvIN -w
lovings	.lAvINz -w 
low            .lo -w
lowed	.lod -w 
lower	.lowR -w 
luck            .lAk -w
luckily        .lAk6li -w
lucky          .lAki -w
lucy	.lusi -w
luggage	.lAg6G -w	 
luggages	.lAg6G6z -w 
luis	.lUwIs -w 
lujah@si	.luy6 -w 
lump	.lAmp -w
lumpy	.lAmpi -w 
lunatic         .lun6tIk -w
lunatics        .lun6tIks -w
lunch          .lAnc -w
lunchie	.lAnci -w 
lunchmeat       .lAncmit -w
lunchtime      .lAnct9m -w
lure	.l) -w 
luther          .luTR -w
lydia	.lIdi6 -w 
lying          .l9IN -w
lynn	.lIn -w 
lyricists	.lIrIsIsts -w 
lysol            .l9sOl -w
m            .Em -w
m@l            .Em -w
ma	.ma -w
ma'am	.m&m -w 
ma@q	.ma -w 
mac	.m&k -w 
macarena	.mak6rEn6 -w 
macaroni     .m&k6r0ni -w
macaroniandcheese	.m&k6roni -w .&nd -w .ciz -w 
macaronis	.m&k6roniz -w	 
macdonald      .m6kdanLd -w
macgruff         .m6kgrAf -w
machine        .m6Sin -w
machines	.m6Sinz -w 
mad               .m&d -w
made           .med -w
madman	.m&dm~ -w 
mag	.m&g -w 
magarina	.m&g6rin6 -w 
magazine	.m&g6zin -w 
magazines      .m&g6zin -w
magba	.m&gb6 -w 
magenta	.m6GEnt6 -w 
maggarina	.m&g6rIn6 -w
maggie	.m&gi -w 
maggie's	.m&giz -w 
magic          .m&GIk -w
magical	.m&gIkL -w 
magically	.m&gIkli -w 
magnet	.m&gnIt -w 
magnets	.m&gnIts -w 
mags	.m&gz -w 
magsterina	.m&gstRIn6 -w 
maid	.med -w 
maids	.medz -w 
mail             .mel -w
mailbox	.melbaks -w 
mailboxes	.melbaks6z -w 
mailed          .meld -w
mailing          .melIN -w
maillady	.mel -w .ledi -w 
mailman	.mel -w .m&n -w 
mails            .melz -w
main           .men -w
maine          .men -w
mainly	.menli -w 
maintenance     .ment6n~ts -w
make           .mek -w
maked	.mekt -w 
makes          .meks -w
makeup	.mekAp -w 
making         .mekIN -w
malfunction      .m&lfANc6n -w
malfunctioned   .m&lfANc6nd -w  
malfunctioning     .m&lfANc6nIN -w
malfunctions       .m&lfANc6nz -w
mall             .mOl -w
mallet	.m&lIt -w 
malnutrition	.m&lnutrIS~ -w 
malt	.malt -w 
malto	.malto -w 
mama           .mam6 -w
mama's	.mam6z -w 
mama@q	.mam6 -w 
mamama 	.ma -w .ma -w .ma -w
mamma    .mam6 -w
mammals	.m&mLz -w 
mammy	.m&mi -w 
mamoo@q .mamu -w
man            .m&n -w
manage	.m&nEG -w 
managed	.m&nEGd -w 
mandy	.m&ndi -w 
mandy's	.m&ndiz -w 
maneuvering   .m6nuvRIN -w
manger	.menGR -w
mango	.meNgo -w 
manipulate     .m6nIpy6let -w
manniken       .m&nIkIn -w
manually       .m&nyu6li -w
many           .mEni -w
map	.m&p -w 
marble	.m#bL -w 
march	.m#c -w 
marcha	.m#c6 -w 
marcher	.m#cR -w 
marches	.m#cIz -w 
marco          .m#ko -w
marco's        .m#koz -w
margaret	.m#grEt -w 
margarine	.m#G6rIn -w 
marianne's	.m&rI&nz -w 
marie          .m6ri -w
marie's        .m6riz -w
marigolds      .m*Igold -w
marino	.m6rino -w 
mark            .m#k -w
mark           .m#k -w
marked         .m#kt -w
marker	.m#kR -w	 
markers	.m#kRz -w 
market	.m#kIt -w 
marking      .m#kIN -w
marks          .m#ks -w
marks          .m#ks -w
marmalade	.m#m6led -w 
marni	.m#ni -w 
marriage	.mErIG -w 
married	.mErid -w
marry	.mEri -w 
mars	.m#z -w 
marsh	.m#S -w 
marshalls       .m#S6lz -w
marshmallow    .m#SmElo -w
marshmallows	.m#rSmEloz -w 
martha	.m#rT6 -w 
mary	.meri -w 
mary's	.meriz -w 
mash            .m&S -w
mashed          .m&st -w
mashing        .m&SIN -w
mason	.mes~ -w  
mass           .m&s -w
massage	.m6sOG -w 
massive	.m&sIv -w 
master	.m&stR -w 
mastercard      .m&stRc#d -w
masterpieces	.m&stRpisIz -w 
mat	.m&t -w 
match          .m&c -w
matches        .m&cIz -w
matching   .m&CIN -w
mate    .met -w
mates   .mets -w
material       .m6t(iL -w
matt   .m&t -w
matter         .m&tR -w
matters	.m&tRz -w 
matthew        .m&Tyu -w
matthew's      .m&Tyuz -w
mattress	.m&tr6s -w 
maura          .m%6 -w
maura's        .m%6z -w
max            .m&ks -w
max's         .m&ks6z -w
maximum	.m&ksImAm -w 
may            .me -w
maybe          .mebi -w
mayonnaise    .mey6nez -w
mayor	.meyR -w 
mcdonald	.m6kdanLd -w 
mcdonalds   .m6kdanLdz -w
mcgregor	.mAkgrEgR -w 
mcgregor's	.mAkgrEgRz -w 
mcmuffin	.m6kmAfIn -w 
me             .mi -w
me's	.miz -w 
meadow	.mEdo -w 
meal           .mil -w
mealtime       .milt9m -w
mean           .min -w
meaned	.mind -w 
meanie	.mini -w 
means          .minz -w
meant          .mEnt -w
meantime	.mint9m -w 
meanwhile	.minw9l -w 
measure	.mES) -w 
measures	.mES)z -w 
measuring	.mES)IN -w 
meat           .mit -w
meatballs	.mitbOlz -w 
meatloaf 	.mitlof -w
meaty	.miti -w 
mechanical     .m6k&nIkL -w
meddle          .mEdL -w
meddled          .mEdLd -w
meddles         .mEdLz -w
meddlesome	.mEdLsM -w 
meddling         .mEdLIN -w
medical        .mEdikL -w
medicine	.mEdIs~ -w 
medicine's	.mEdis~z -w 
medium        .midi6m -w
meeko         .miko -w
meet           .mit -w
meeting        .mitIN -w
meets          .mits -w
meg	.mEg -w 
mega	.mEg6 -w 
megablocks	.mEg6blAks -w 
megan 	.mEg~ -w
melanie	.mEl6ni -w 
melissa	.mElIs6 -w 
melon	.mEl~ -w 
melt	.mElt -w 
meltdown	.mEltdQn -w 
melted	.mEltEd -w 
melting	.mEltIN -w 
melts	.mElts -w 
membrane	.mEmbren -w 
meme           .meme -w
memee	.mimi -w 
memorize       .mEm6r9z -w
memory         .mEm6ri -w
men              .mEn -w
mention        .mEnS~ -w
mentioned      .mEnS~d -w
meow              .miQ -w
meow@o	.miQ -w	 
merchant	.m3CEnt -w 
mercies	.m3siz -w 
mercy	.m3si -w 
mermaid	.m3med -w 
merrily	.mEr6li -w 
mesh	.mES -w 
mess           .mEs -w
message	.mEs6G -w 
messages	.mEs6G6z -w 
messed       .mEst -w
messer	.mEsR -w 
messes	.mEs6z -w 
messing	.mEsIN -w 
messy         .mEsi -w
met	.mEt -w 
metal	.mEtL -w 
method	.mET6d -w 
mets	.mEts -w 
mew	.mu -w 
mi@si	.mi -w 
mice           .m9s -w
michael	.m9kL -w
michael's      .m9kLz -w
micies	.m9siz -w 
mickey         .mIki -w
mickey's       .mIkiz -w
mickie	.mIki -w 
micky          .mIki -w
microphone     .m9kr6fon -w
microphone's	.m9kr6fonz -w	 
microphones	.m9kr6fonz -w 
microwave	.m9kr6wev -w 
middle         .mIdL -w
midmorning	.mIdm%nIN -w 
midnight 	.mIdn9t -w
midwest        .mIdwEst -w
might          .m9t -w
mighty	.m9ti -w 
mike           .m9k -w
mike's         .m9ks -w
mikey	.m9ki -w 
mikie	.m9ki -w 
mile	.m9l -w 
miles	.m9lz -w 
military        .mIl6t*i -w
milk           .mIlk -w
milkie	.mIlki -w 
milkies	.mIlkiz -w 
milky 	.mIlki -w
million .mIly~ -w
millions	.mIly~z -w 
mimi           .mimi -w
mind           .m9nd -w
mine           .m9n -w
minestrone	.mIn6stroni -w 
minnie	.mIni -w 
minnies	.mIniz -w 
minnows	.mInoz -w 
mint	.mInt -w 
minute         .mInIt -w
minutes        .mInIts -w
miranda	.mIr&nd6 -w 
mirror         .m(R -w
mirrors        .m(Rz -w
miserable      .mIzR6bL -w
misery	.mIz6ri -w 
miss           .mIs -w
missed         .mIst -w
missing        .mIsIN -w
mission	.mIS~ -w 
missus         .mIsIz -w
missy	.mIsi -w 
mistake        .mIstek -w
mistaken	.mIstek~ -w	 
mister          .mIstR -w
mistreat	.mIstrit -w 
mistress       .mIstrIs -w
mit@l          .Em .9 .ti -w
mittens        .mIt~ -w
mix             .mIks -w
mixed          .mIkst -w
mixer	.mIksR -w 
mixes           .mIks6z -w
mixing          .mIksIN -w
mkay	.Mke -w
mmhm         .MhM -w
mmm          .M -w
mmming	.MIN -w 
mmms	.Mz -w 
mo	.mo -w 
moaning      .monIN -w
moat	.mot -w 
mobile	.mobL -w 
mockingbird	.makINb3d -w 
mode	.mod -w 
model	.mOdL -w 
modeling	.mOdLIN -w 
moira          .m7r6 -w
molar	.molR -w 
mom            .mam -w
mom'll	.mamL -w 
mom's	.mamz -w 
moment	.momnt -w 
moments	.momnts -w 
momma 	.mOm6 -w
momma's	.mOm6z -w 
mommies        .mamiz -w
mommy          .mami -w
mommy'll       .mamiL -w
mommy's        .mamiz -w
moms	.mOmz -w 
monday         .mAnde -w
money         .mAni -w
moneys	.mAni -w 
monica	.manIk6 -w 
monitor	.manItR -w 
monkey         .mANki -w
monkey's       .mANkiz -w
monkeys        .mANkiz -w
monst	.manst -w 
monster        .manstR -w
monster's	.manstRz -w 
monsters	.manstRz -w 
monstrous	.manstRAs -w 
month          .mAnT -w
months         .mAnTs -w
moo	.mu -w 
moo@o	.mu -w 
mooboosh	.mubuS -w 
moocow	.mukQ -w 
mood           .mud -w
moody	.mudi -w 
mookaboosh	.muk6buS -w 
moomoo	.mumu -w 
moomooshas	.mumuS6z -w 
moon           .mun -w
moonlight	.munl9t -w	 
moose         .mus -w
moosh	.muS -w 
mooshaboosh	.muS6 -w .buS -w 
mooshaboosha	.muS6 -w .buS6 -w 
mooshabooshas	.muS6 -w .buS6z -w 
mooshas	.muS6z -w 
mooshasboosh	.muS6z -w .buS -w 
mooshboosh	.muS -w .buS -w 
mooshbooshas	.muS -w .buS6s -w 
mooshieboosh	.muSi -w .buS -w 
mooshiebooshas	.muSi -w .buS6z -w 
mooshmoosh 	.muS -w .muS -w
mooski	.muski -w 
mootas	.mut6z -w 
mootash	.mut&S -w 
mootie 	.muti -w
mootieboosh	.muti -w .buS -w
mootiebooshas	.muti -w .buS6z -w 
mootiemoo	.muti -w .mu -w 
mootiemooshas 	.muti -w .muS6z -w
mop            .map -w
mopped        .mapt -w
moppet	.map6t -w 
mopping       .mapIN -w
mops          .maps -w
mopsy	.mapsi -w 
more           .m% -w
morgan        .m%gN -w
morgan's     .m%gNz -w
morgie        .m%gi -w
morgie's      .m%giz -w
morning        .m%nIN -w
moses	.moz6s -w 
mosquito	.m6skito -w 
mosquitos	.m6skitoz -w 
moss	.mas -w 
most           .most -w
mostest	.mostEst -w 
mostly         .mostli -w
mother         .mADR -w
mother's       .mADRz -w
motherland	.mADRl&nd -w 
mothers 	.mADRz -w
moths	.mOTs -w 
motive	.motIv -w 
motor          .motR -w
motorbike	.motRb9k -w 
motorcycle	.motRs9kL -w 
mount	.mQnt -w	 
mountain	.mQnt~ -w 
mountains	.mQnt~z -w 
mountaintop	.mQnt~tap -w 
mouse          .mQs -w
mouse's	.mQs6z -w 
mouses	.mQs6z -w 
mousie         .mQsi -w
mouth          .mQT -w
mouthful	.mQTfL -w	 
mouthie	.mQTi -w
mouthing	.mQTIN -w	
mouthpiece	.mQTpis -w 
mouths         .mQDz -w
move           .muv -w
moved          .muvd -w
movement        .muvmEnt -w
movements        .muvmEnts -w
moves	.muvz -w	 
movie          .muvi -w
movies        .muviz -w
moving         .muvIN -w
mow	.mo -w 
mower	.mowR -w 
mowing	.mowIN -w 
ms	.Mz -w 
much           .mAc -w
mud	.mAd -w 
muddy	.mAdi -w 
mufasa	.mufas6 -w 
muffet	.mAf6t -w 
muffin         .mAfIn -w
muffins       .mAfInz -w
mug            .mAg -w
mugs           .mAgz -w
mulan 	.mulan -w
mulberry	.mLbEri -w 
mules          .myulz -w
multicolored	.mAltikAlRz -w	 
multiple	.mAltIpL -w 
multitalented	.mAltit&l~t6d -w 
mum            .mAm -w
mumbling	.mAmblIN -w 
mummy          .mAmi -w
munch           .mAnc -w
munchkin	.mAnCkIn -w 
muppet         .mApIt -w
muppets        .mApIts -w
murphy	.mRfi -w 
muscleman	.mAsLm&n -w 
muses	.muzEz -w 
museum         .myuziM -w
mush           .mAS -w
mushed	.mASt -w 
mushing	.mASIN -w 
mushroom	.mASrum -w 
mushrooms	.mASrumz -w 
mushy	.mASi -w 
music          .myuzIk -w
musical	.musikL -w 
muskrats	.mAskr&ts -w 
must           .mAst -w
mustache	.mAst&S -w 
mustard       .mAstRd -w
mustn't        .mAs~t -w
mutilate       .myutLet -w
my             .m9 -w
myself         .m9sElf -w
mystery	.mIstRi -w
n	.En -w 
n@l            .En -w
nah	.na -w 
nail	.nel -w	
nails	.nelz -w 
naked           .nek6d -w
nala	.nal6 -w 
name           .nem -w
name's         .nemz -w
named          .nemd -w
names          .nemz -w
naming         .nemIN -w
nan            .n&n -w
nan's          .n&nz -w
nana           .n&n6 -w       
nana's	.nan6z -w 
nananana	.nan6 -w .nan6 -w 
nap            .n&p -w
napkin         .n&pkIn -w
napkins	.n&pkInz -w 
nappie         .n&pi -w
nappies         .n&piz -w
napping        .n&pIN -w
nappy	.n&pi -w 
naps             .n&ps -w
naptime        .n&pt9m -w
nas	.naz -w 
nasty              .n&sti -w
nathan	.neT~ -w 
nation	.neS~ -w 
nations	.neS~z -w 
natural	.n&t)L -w 
naturally      .n&cr6li -w
naughty	.nOti -w 
nautilus	.nOtIl6s -w 
navigate	.n&v6get -w 
navy	.nevi -w 
near	.n( -w 
nearby         .n(b9 -w
nearer	.n(R -w 
nearly        .n(li -w
neat           .nit -w
neatest	.nitEst -w  
neatly	.nitli -w 
neato	.nito -w 
necessarily    .nEs6s*6li -w
necessary      .nEs6s*i -w
neck           .nEk -w
necklace       .nEklIs -w
necklaces	.nEkl6s6z -w 
neckties	.nEkt9z -w 
ned .nEd -w
need           .nid -w
needed         .nidId -w
needing	.nidIN -w 
needle 	.nidL -w
needs          .nidz -w
negative       .nEg6tIv -w
neglecting	.n6glEktIN -w 
neigh	.ne -w 
neighbor	.nebR -w 
neighbor's	.nebRz -w 
neighborhood	.nebRhUd -w 
neighborly	.nebRli -w 
neighbors	.nebRz -w 
neither        .niDR -w
nellie 	.nEli -w
neon            .nian -w
nephew         .nEfyu -w
nephew's       .nEfyuz -w
nerve	.n3v -w 
nerves	.n3vz -w 
nervous        .n3v6s -w
nest	.nEst -w 
nesting	.nEstIN -w 
nests	.nEsts -w 
net	.nEt -w 
neuter         .nutR -w
neutral	.nutrL -w 
never          .nEvR -w
new            .nu -w
newborns	.nub#nz -w 
newport	.nup%t -w 
news	.nUz -w 
newspaper    .nuzpepR -w
newt	.nUt -w 
next           .nEkst -w
nibbled	.nIbLd -w 
nice           .n9s -w
nicely	.n9sli -w	 
nicer          .n9sR -w
nick	.nIk -w 
nickel	.nIkL -w 
nickelodeon	.nIkLodi~ -w 
nicole	.nIkoL -w 
niece 	.nis -w
nigerians  .n9G(i~z -w
night          .n9t -w
night's	.n9ts -w 
nightgown      .n9tgQn -w
nightgowns     .n9tgQnz -w
nightie	.n9ti -w 
nightlight	.n9tl9t -w 
nightmare      .n9tm* -w
nightnight	.n9tn9t -w 
nights	.n9ts -w
nightshirt	.n9tS3t -w 
nighttime       .n9tt9m -w
nilly 	.nIli -w
nine           .n9n -w
nineteen	.n9ntin -w
ninety         .n9ndi -w
ninja            .nInG6 -w
nino 	.nino -w
ninth          .n9nT -w
nipple	.nIpL -w 
nixie	.nIksi -w 
no             .no -w
noah	.no6 -w 
noah's 	.no6z -w
noba@c	.nob6 -w 
nobody         .nobadi -w
nobody's       .nobadiz -w
nodded	.nad6d -w 
nodding	.nadIN -w 
noggin	.nagIn -w 
noise          .n7z -w
noises         .n7zIz -w
noisy	.n7zi -w 
none           .nAn -w
nonexistent    .nanIgzIst~t -w
nono           .nono -w
nonono@si	.no -w .no -w .no -w 
nononoing	.nononoIN -w 
noodle         .nudL -w
noodles        .nudLz -w
nookcase@n	.nUkes -w 
noontime	.nUnt9m -w 
nope           .nop -w
nopes	.nops -w 
nopie 	.nopi -w
nor	.n# -w 
normal         .n%mL -w
normally       .n%m6li -w
north	.n#T -w 
nose           .noz -w
nosed        .nozd -w
nosedives	.nozd9vz -w	
noses	.nozIz -w 
nosey	.nozi 
nosie	.nozi -w 
not            .nat -w
note	.not -w 
notes	.nots -w 
nothing        .nATIN -w
nothing's	.nATINz -w 
notice         .notIs -w
noticed        .notIst -w
notices         .notIs6z -w
noticing       .notIsIN -w
novelty        .navLti -w
november	.novEmbR -w 
now            .nQ -w
nowhere	.now* -w
nudieper	.nudipR -w 
nudist         .nudIst -w
nugget	.nAgEt -w 
nuggets	.nAgEts -w 
nuhuh          .nAA -w
nuisance	.nusEnts -w 
num	.nAm -w 
number         .nAmbR -w
numbers        .nAmbRz -w
nummies	.nAmiz -w 
nummy	.nAmi -w 
numnum	.nAmnAm -w 
nurse          .n3s -w
nursery        .n3s6ri -w
nurses         .n3sIz -w
nursing        .n3sIN -w
nut	.nAt -w 
nutcracker	.nAtkr&kR -w 
nutrient	.nutri~t -w 
nutritional	.nutrIS~L -w 
nutritious	.nutrIS6s -w
nuts           .nAts -w
nutty	.nAti -w
o                .o -w
o'clock        .6klak -w
o'clocker	.oklakR -w	
o'clocks       .6klaks -w
o@l            .o -w
o@l-s	.o -w
oatmeal        .otmil -w
oats              .ots -w
obedient	.obidiEnt -w 
obekaybe	.obikebi -w 
obey	.obe -w 
obi            .obi -w
obi's          .obiz -w
obie           .obi -w
objects        .abGIks -w
observed       .6bz3vd -w
observing      .6bz3vIN -w
obsessed	.6bsEst -w	 
obtained	.6btend -w 
obvious        .abvi6s -w
obviously      .abvi6sli -w
occasion	.6keS~ -w 
occasionally   .6keZ6nL -w
occurred       .6k3d -w
ocean          .oS~ -w
octagon	.akt6gan -w 
october        .aktobR -w
octopi	.akt6p9 -w 
octopus	.akt6pAs -w 
odd            .ad -w
of             .6v -w
off            .Of -w
off@n	.af -w
offensive	.6fEnsIv -w 
offer	.af3 -w 
offered	.af3d -w 
offers         .OfRz -w
offhand        .Ofh&nd -w
office         .OfIs -w
official	.6fISL -w 
officially	.6fIS6li -w 
often          .Of~ -w
oh              .o -w
ohio	.oh9o -w 
oil	.7L -w 
oiled	.7ld -w 
oink          .7Nk -w
oink@o	.7Nk -w 
oinkoink     .7Nk -w .7Nk -w
ointment       .7ntmEnt -w
ok             .oke -w
okay           .oke -w
okeydokey        .okidoki -w
old            .old -w
olden	.old~ -w 
older          .oldR -w
olive	.alIv -w 
olives	.alIvz -w 
olivia	.6lIvi6 -w 
omega 	.omEg6 -w
on             .an -w
once           .wAns -w
one            .wAn -w
one's          .wAnz -w
ones           .wAnz -w
onesie	.wAnsi -w	 
onie	.wAni -w 
onion          .Any~ -w
onions	.Any~z -w 
online	.anl9n	-w  
only           .onli -w
onsie	.wAnsi -w 
onsies	.wAnsiz -w 
onto           .antu -w
oop	.up -w 
oops           .ups -w
oopsadaisy 	.ups6dezi -w 
oopsadaisys	.ups6deziz -w 
oopsie 	.upsi -w
oopsiedoozies	.upsiduziz -w 
oopsiedoozy	.upsiduzi -w 
oopsies	.upziz -w 
op@c	.ap -w
open           .op~ -w
opened         .op~d -w
opener	.op~3 -w 
opening        .op~IN -w
opens          .op~z -w
operation      .ap6reS~ -w
operator	.Op3at3 -w 
opinion	.6pIny~ -w 
opportunity	.ap3tunIti -w 
opposed        .6pozd -w
opposite       .ap6zIt -w
opposites	.ap6sIts -w  
option           .apcN -w
options         .apcNz -w
or             .% -w
orange         .%InG -w
oranges       .%InG6z -w
orangish       .%InGIS -w
orangutan	.%&Ng6t&n -w 
order          .%dR -w
ordered	.%dRd -w	 
ordering	.%dRIN -w 
orderly        .%dRli -w
ordinary	.%dInEri -w 
organize	.%g6n9z -w 
organized	.%g6n9zd -w 
originally     .6rIG6nLi -w
orioles	.%iolz -w
ornaments	.%n6mEnts -w 
orphan	.%f~ -w 
orthodontic      .%T6dantIk -w
orthodontics      .%T6dantIks -w
orthodontist      .%T6dantIst -w
orthodontist's    .%T6dantIsts -w
orthodontists     .%T6dantIsts -w
oscar	.askR -w 
oscar's	.askRz -w 
ostrich	.astrIc -w 
otay	.ote -w 
other          .ADR -w
others         .ADRz -w
otherwise      .ADRw9z -w
ouch          .Qc -w
ouchie       .Qci -w
ouchies      .Qciz -w
ought          .Ot -w
oughtta        .Ot6 -w
ounce	.Qnts -w	 
ounces	.Qnts6z -w  
our            .# -w
ours           .#z -w
ourself	.#sElf -w 
out            .Qt -w
outdoor        .Qtd% -w
outdoors       .Qtd%z -w
outer 	.QtR -w
outfit	.QtfIt -w 
outgrown	.Qtgron -w 
outlaw	.QtlO -w 
outlet	.QtlEt -w 
outlets        .QtlEts -w
outrageous	.QtreG6s -w 
outside        .Qts9d -w
outtalk	.QttOk -w 
oval            .ovL -w
oven	.Av~ -w 
over           .ovR -w
overalls       .ovROlz -w
overboard	.ovRb%d -w 
overflow	.ovRflo -w 
overflowing	.ovRfloIN -w 
overload	.ovRlod -w 
overnight       .ovRn9t -w
overtime	.ovRt9m -w 
overzealous	.ovRzElAs -w 
ow             .Q -w
owe	.o -w 
owie	.Qi -w 
owl            .QL -w
owl's	.QLz -w 
owls           .QLz -w
own            .on -w
owned          .ond -w
owner	.onR -w 
owowow@o	.Q -w .Q -w .Q -w
oyster	.7stR -w 
p	.pi -w
p@l            .pi -w
pacie	.pesi -w
pacifier        .p&sIf9R -w
pacifiers	.p&sIf9R -w 
pack          .p&k -w
package      .p&k6G -w
packages      .p&k6G6z -w
packed        .p&kt -w
packet	.p&kEt -w 
packing        .p&kIN -w
packs           .p&ks -w
pad	.p&d -w 
pad's	.p&dz -w 
paddy	.p&di -w 
page           .peG -w
paged	.peGd -w 
pager	.peGR -w
pages          .peGIz -w
paging	.peGIN 
paid           .ped -w
pail	.pel -w 
pain	.pen -w 
painful	.penfL -w 
paint          .pent -w
painted	.pent6d -w 
painting	.pentINz -w 
pair	.p* -w	 
pairs	.p*z -w 
pajama	.p6Gam6 -w 
pajamaies	.p6jam6z -w 
pajamas        .p6G&m6z -w
pal	.p&L -w 
palace	.p&lIs -w	 
paly	.peli -w 
pamper       .p&mpR -w
pamper's      .p&mpRz -w
pampers     .p&mpRz -w
pan            .p&n -w
pancake        .p&nkek -w
pancakes       .p&nkeks -w
panda	.p&nd6 -w 
panicked	.p&nIkt -w 
pans           .p&nz -w
pant	.p&nt -w 
panther	.p&nTR -w 
panties	.p&ntiz -w 
panting	.p&ntIN -w 
pantry	.p&ntri -w 
pants          .p&nts -w
pantsie	.p&ntsi -w
pantsies	.p&ntsiz -w 
papa           .pap6 -w
papaya	.p6p9y6 -w 
paper          .pepR -w
papers         .pepRz -w
paperwork      .pepRw3k -w
papou	.p6pu -w 
parade         .p6red -w
parading	.p6redIN -w 
paranoid	.p*6n7d -w 
parcheesi	.p#cizi -w 
pardon	.p#d~ -w 
parents	.p*Ents -w 
parents's	.p*Ents6z -w 
park           .p#k -w
parked	.p#kt -w 
parkie	.p#ki -w 
parlor	.p#lR -w 
parrot         .p*6t -w
parsnipie	.p#snIpi -w 
parsnips	.p#snIps -w 
part           .p#t -w
participate	.p#tIsIpet -w 
particular     .pRtIky6lR -w
particularly .p#tIculRli -w 
