D^blaks : D^blaks ;aword 
yRSi^ntYzDEmYh@vtud^bxlnatDEm : yR ;aword Si^ntYz ;aword DEm ;aword Yh@v ;aword tu ;aword d^bxlnatDEm ;aword 
clD^tYm : clD^tYm ;aword 
d^zSitrYtuprIti^phRsElfcr^DRpipxl : d^zSitrYtu ;aword prIti^p ;aword hRsElf ;aword cr ;aword ^DRpipxl ;aword 
yRSilyusebr^SanhRonher@ndInf@ktIf : yR ;aword Sil ;aword yus ;aword ebr^SanhRonher@ndInf@ktIf ;aword 
Itsw^n^vhRfevxrItTIGz : Its ;aword w^n^vhRfevxrIt ;aword TIGz ;aword 
d^zSidrIGkWt^vek^pduyukclItek^p : d^zSidrIGkWt^v ;aword e ;aword k^pdu ;aword yu ;aword kcl ;aword Itek^p ;aword 
s^mwElSih@zs^mTIGzYkclk^ps@nd^DRzD@t : s^mwEl ;aword Si ;aword h@z ;aword s^mTIGzYkclk^ps ;aword @nd ;aword ^DRzD@t ;aword 
YTIGkSinozk^pb^tSiJ^stw^zIntD@tIntxrEstId : YTIGk ;aword Sinoz ;aword k^pb^tSiJ^st ;aword w^zInt ;aword D@t ;aword In ;aword txrEstId ;aword 
b^tItbrokxpart@ndYnEvRgathRenuw^nb^twEnEvR : b^t ;aword Itbrokxpart ;aword @nd ;aword YnEvRgathRenuw^n ;aword b^twEn ;aword EvR ;aword 
soD@tsDewe : soD@tsDewe ;aword 
yuyuzdD^tRm : yu ;aword yuzdD^tRm ;aword 
fud : fud ;aword 
ItseprItibrcdtRmduyuTIGkSinoz : It ;aword seprItibrcdtRm ;aword du ;aword yu ;aword TIGkSinoz ;aword 
YTIGksowEnItsl^nCtYmYlselEtsgo : YTIGkso ;aword wEn ;aword Its ;aword l^nCtYmYlselEts ;aword go ;aword 
lEtsaryurEdifcrl^nC : lEts ;aword aryurEdifcrl^nC ;aword 
SilJ^stdrapw^tSizduIG@ndr^nIntuD^kICIn@nd : Sil ;aword J^stdrapw^tSizduIG@ndr^n ;aword In ;aword tu ;aword D^kICIn ;aword @nd ;aword 
YyusityEsYduYdontTIGkmitk^mz^pvEri : Yyusit ;aword yEs ;aword Ydu ;aword Ydont ;aword TIGkmitk^mz^pvEri ;aword 
YdontTIGkD@tminzEniTIGtuhR : Ydont ;aword TIGk ;aword D@tminzEniTIGtuhR ;aword 
SinoznoYlseYlse : SinoznoYlseYls ;aword e ;aword 
yaw^nts^mmorCIkIn : yaw^nts^mmorCIk ;aword In ;aword 
crhatdcgcrs@ndwICfudmYtbituEntYshR : cr ;aword hatdcgcrs@ndwICfudmYt ;aword bi ;aword tuEntYshR ;aword 
yRSisEzIttu : yR ;aword SisEz ;aword It ;aword tu ;aword 
wEnSiw^ntsmoryRIfSizitIG : wEn ;aword Si ;aword w^ntsmoryRIfSizitIG ;aword 
Ydontno : Ydontno ;aword 
YgEsYsEd : YgEsYsEd ;aword 
nYtnYt : nYtnYt ;aword 
@ndSik@nYdEntIfYwIDD@t : @nd ;aword Si ;aword k@n ;aword YdEnt ;aword If ;aword YwID ;aword D@t ;aword 
fidIGItdInR@ndItsTIGzD@tSid^zhRsElfY : fidIG ;aword It ;aword dInR@nd ;aword Its ;aword TIGz ;aword D@t ;aword Sid^z ;aword hRsElfY ;aword 
SiTIGksItsf^ntuduItwIDs^mTIGEls : Si ;aword TIGk ;aword sItsf^n ;aword tu ;aword du ;aword It ;aword wID ;aword s^mTIG ;aword Els ;aword 
lYks^mkIdzduItwIDdclzb^tSid^zxntplewID : lYks^mkIdz ;aword du ;aword It ;aword wIDdclz ;aword b^tSi ;aword d^zxntplewID ;aword 
d^zSih@vEniTIGD@tsscrt^vlYkedcl : d^zSi ;aword h@vEniTIGD@tsscrt^vlYkedcl ;aword 
Sih@zlats^vdclzh@fed^zIndclz : Si ;aword h@z ;aword lats^vdclzh@fed^zIndclz ;aword 
b^tSid^zxnttrYtupUtDEmtuslip : b^tSi ;aword d^zxnttrYtu ;aword pUt ;aword DEm ;aword tu ;aword slip ;aword 
crfidDEmmitcr : cr ;aword fidDEmmit ;aword cr ;aword 
n^TIGn^TIGSiJ^styunoSiJ^stsmYl@t : n^TIGn^TIG ;aword SiJ^st ;aword yu ;aword no ;aword SiJ^st ;aword smYl@t ;aword 
w^tduyuTIGkxbWtD^dr@gxnbxsYdzItsf^GkSxnzIzso : w^tdu ;aword yu ;aword TIGk ;aword xbWtD^dr@gxnbxsYdzItsf^GkSxnzIzso ;aword 
SikUdh@vfEdD^dcgcrD^bO : SikUdh@vfEdD^dcgcrD^bO ;aword 
YTIGkItsD^f@ktD@tYw^zmekIGD^dr@gxnmuv : YTIGk ;aword Its ;aword D^f@ktD@t ;aword Yw^zmekIGD^dr@gxnmuv ;aword 
@ndItw^z : @nd ;aword Itw^z ;aword 
b^tSiIzIntIntxrEstIdInp^tIGhRonh@ndInDer : b^tSi ;aword Iz ;aword Int ;aword In ;aword txrEstId ;aword In ;aword p^tIGhRonh@ndInDer ;aword 
noYh@dtubiDertuduIt : no ;aword Yh@d ;aword tu ;aword bi ;aword Dertu ;aword du ;aword It ;aword 
D@tsD^menTIG : D@ts ;aword D^menTIG ;aword 
d^zSih@vEnip^pIts : d^zSi ;aword h@vEnip^p ;aword Its ;aword 
yR : yR ;aword 
yR : yR ;aword 
d^zSiplewIDDEm : d^zSiplewIDDEm ;aword 
nob^tSiEnJOzItwEnYplewIDDEmwIDhR : no ;aword b^t ;aword SiEnJOz ;aword It ;aword wEn ;aword YplewID ;aword DEm ;aword wIDhR ;aword 
ItsYTIGkItsef^GkSxnz^vmiduIGIt : Its ;aword YTIGk ;aword It ;aword sef^GkSxnz^vmiduIG ;aword It ;aword 
d^zSitrYtufidyuh@vedcg : d^zSitrYtu ;aword fidyuh@vedcg ;aword 
wih@vk@ts : wih@v ;aword k@ts ;aword 
yRb^tSisizdcgzDearxrWnd : yR ;aword b^tSi ;aword sizdcgzDearxrWnd ;aword 
d^zSifidD^k@ts : d^zSi ;aword fidD^ ;aword k@ts ;aword 
yEs : yEs ;aword 
SifidzSifidzSil^vztufidD^k@ts : Sifidz ;aword Sifidz ;aword Sil ;aword ^vztu ;aword fidD^ ;aword k@ts ;aword 
Siw^ntstufidDEmSisizDEm : Si ;aword w^ntstufidDEm ;aword Si ;aword siz ;aword DEm ;aword 
yunoItsebIgIvEnt : yu ;aword no ;aword Its ;aword e ;aword bIgIvEnt ;aword 
d^zSifidDEmD^weSiztrYIGtufidD^dr@gxncrd^z : d^zSi ;aword fidDEmD^we ;aword SiztrYIGtu ;aword fidD^dr@gxncrd^z ;aword 
YlpUtfudInD^dIS@ndSilk@riD^dIS@nd : YlpUt ;aword fud ;aword In ;aword D^dIS ;aword @nd ;aword Sil ;aword k@ri ;aword D^dIS ;aword @nd ;aword 
so : so ;aword 
soSiznatduIGw^tSizduIGhir : so ;aword Siz ;aword natduIGw^t ;aword Siz ;aword duIGhir ;aword 
no : no ;aword 
w^tscrt^vtOzIzSimostIntxrEstIdInrYtnW : w^tscrt^vtOzIz ;aword Si ;aword mostIn ;aword txrEstId ;aword InrYtnW ;aword 
Sil^vzp^zxlz@ndYrEdelat^vbUkstuhR : Sil ;aword ^vzp^zxlz@ndY ;aword rEd ;aword elat ;aword ^vbUkstuhR ;aword 
@zm^C@zyuk@nrEd@tD@teJ : @zm^C@z ;aword yu ;aword k@n ;aword rEd ;aword @tD@teJ ;aword 
d^zSih@vEnipRtIkyxlRlifevxrItbUks : d^zSi ;aword h@vEnipRtIkyxlRlifevxrIt ;aword bUks ;aword 
Yh@vw^nkcld : Yh@vw^nkcld ;aword 
gUdnYtmun : gUdnYtmun ;aword 
D@tSilYks : D@t ;aword SilYks ;aword 
wYduyuTIGkD@ts : wYdu ;aword yu ;aword TIGk ;aword D@ts ;aword 
bxkczSizrixliIntrigdwIDD^mun : bxkczSiz ;aword rixli ;aword Int ;aword rigdwIDD^mun ;aword 
wYdontyupleovRhir : wYdontyupleovRhir ;aword 
siclD^f^ntOz : siclD^f^ntOz ;aword 
yawanxsItInhirxgEn : yawanxsIt ;aword In ;aword hir ;aword xgEn ;aword 
oke : oke ;aword 
arDerEni^DRtOzD@tSizrixliIntxrEstIdIn : arDerEni^DRtOz ;aword D@t ;aword Siz ;aword rixli ;aword Int ;aword xrEstId ;aword In ;aword 
lEtmiTIGkSih@zelItxlrEkRdpleR : lEtmi ;aword TIGk ;aword Si ;aword h@z ;aword e ;aword lItxl ;aword rEkRdpleR ;aword 
@ndYbcthRelItxlk^p@ndscsRsEt@nd : @ndYbcthR ;aword e ;aword lItxl ;aword k^p@ndscsRsEt ;aword @nd ;aword 
D@tkYnd^vTIGSilYksWtdcrTIGz : D@tkYnd^vTIG ;aword SilYk ;aword sWtdcrTIGz ;aword 
rYdIGhRlItxltrYsIkxl@ndInf@ktD@tsclSiw^ntstu : rYdIGhRlItxltrYsIkxl ;aword @nd ;aword Inf@ktD@tscl ;aword Si ;aword w^ntstu ;aword 
D^fRstTIGInD^mornIG : D^fRstTIG ;aword In ;aword D^mornIG ;aword 
WtsYdWtsYd : WtsYdWtsYd ;aword 
b^tSiwIlIfS^tInhRrumplewIDtOz^DRwYz : b^tSi ;aword wIl ;aword IfS^t ;aword In ;aword hRrumplewIDtOz^DRwYz ;aword 
crSifalozmixrWnd@ndhElpsmiduCcrzxrWndD^hWz : cr ;aword SifalozmixrWn ;aword d@nd ;aword hElpsmi ;aword duCcrzxrWndD^hWz ;aword 
lYkwElSil^nlodD^dISwcSRfcrmiyuno : lYkwEl ;aword Si ;aword l^nlodD^dISwcSRfcrmiyu ;aword no ;aword 
soSiznatsoIntxrEstIdIntOz@zSiIzInduIGTIGz : so ;aword Siz ;aword natsoIn ;aword txrEstId ;aword In ;aword tOz@z ;aword Si ;aword Iz ;aword In ;aword duIG ;aword TIGz ;aword 
lYkYdontnoSisimzSisimzlYkSiluzIz : lYkYdontnoSisimz ;aword Si ;aword simzlYk ;aword Siluz ;aword Iz ;aword 
@ndYlbYhRs^mTIGD@tYlTIGkSilbiIntxrEstId : @nd ;aword YlbYhRs^mTIG ;aword D@t ;aword YlTIGk ;aword Sil ;aword bi ;aword Int ;aword xrEstId ;aword 
Ydontno : Ydontno ;aword 
SilYksrilTIGz : SilYks ;aword ril ;aword TIGz ;aword 
lYkSiSilYkstugEtIntumYpats@ndp@nz@nd : lYkSi ;aword SilYks ;aword tugEt ;aword In ;aword tu ;aword mYpats@ndp@nz ;aword @nd ;aword 
crs^mTIGyuniklYkkloDzpInzSilYkstuhElp : cr ;aword s^mTIG ;aword yuniklYkkloDzpInz ;aword SilYks ;aword tu ;aword hElp ;aword 
bYh@ndIGmiD^kloDzpInzD^dcgi : bYh@ndIGmiD^kloDzpInzD^dcgi ;aword 
d^zSi^ndRst@ndDoz : d^zSi^ndRst ;aword @ndDoz ;aword 
yEsSisEzhWzwEnSisizhWz : yEs ;aword SisEz ;aword hWzwEn ;aword Si ;aword sizhWz ;aword 
rilhWsIz : ril ;aword hWsIz ;aword 
yRSisEzhWzyunowilbigoIGxlcG@nd : yR ;aword SisEz ;aword hWzyu ;aword no ;aword wil ;aword bi ;aword goIGxlcG ;aword @nd ;aword 
soSid^znow^tehWzIz : so ;aword Sid^z ;aword no ;aword w^tehWzIz ;aword 
anD^dcl@ndanD^dr@gxnyupOntIdWts^mbadiparts : anD^dcl@ndan ;aword D^dr@gxn ;aword yupOntIdWts^mbadiparts ;aword 
Sinozcl^vDEmYTIGksobxkczSiivxnsEd : Sinoz ;aword cl^vDEm ;aword YTIGkso ;aword bxkczSiivxn ;aword sEd ;aword 
@ndSirEkxgnYzIzD@tw^tsInD^dr@gxnzmWTIzet^G : @nd ;aword Si ;aword rEkxgnYz ;aword Iz ;aword D@t ;aword w^tsInD^dr@gxnzmWTIzet^G ;aword 
yRYTIGkso : yR ;aword YTIGkso ;aword 
werzD^t^Gdel : werzD^t^Gdel ;aword 
siSisEdt^G : si ;aword Si ;aword sEdt^G ;aword 
Siw^zIntutekIGTIGzIn@ndWtd^zSilYkD@t : Si ;aword w^zIn ;aword tu ;aword tekIG ;aword TIGz ;aword In ;aword @ndWt ;aword d^zSi ;aword lYkD@t ;aword 
yEs : yEs ;aword 
yEs : yEs ;aword 
SilYkstekIGTIGzIn@ndWt : SilYks ;aword tekIG ;aword TIGz ;aword In ;aword @ndWt ;aword 
Ydontnow^tSiw^zduIGb^tYh@vepatIdpl@nt@ndSi : Ydontno ;aword w^tSiw^z ;aword duIG ;aword b^t ;aword Yh@vepatIdpl@nt ;aword @nd ;aword Si ;aword 
clDIsdRt^ndRD^r^g : clDIsdRt^ndRD^r^g ;aword 
b^tlItxlTIGzlYkD@tSid^zlYk : b^t ;aword lItxl ;aword TIGzlYk ;aword D@t ;aword Sid^zlYk ;aword 
yu@skthRek^pxl^vtYmzw^thRnemw^z : yu@skthRek^pxl^vtYmzw^thRnemw^z ;aword 
d^zSinow^tD^nemz^vTIGzar : d^zSi ;aword no ;aword w^tD^nemz^vTIGzar ;aword 
yEs : yEs ;aword 
Sikclzs^mpipxlbYnem : Si ;aword kclzs^mpipxlbYnem ;aword 
SikclzpipxlbYnemb^td^zSi^ndRst@ndD^tRm : Si ;aword kclzpipxlbYnem ;aword b^t ;aword d^zSi^ndRst ;aword @ndD^tRm ;aword 
yUrnemcrItsnem : yUrnem ;aword cr ;aword Itsnem ;aword 
YTIGksobxkczs^mtYmzSil@nsRwIDhRnem : YTIGkso ;aword bxkczs^mtYmzSil@nsRwIDhRnem ;aword 
wEnSiridzbUksSid^zD@tonliwIDyunatbYhRsElf : wEn ;aword Si ;aword ridz ;aword bUks ;aword Sid^z ;aword D@tonli ;aword wID ;aword yu ;aword natbYhRsElf ;aword 
w^nsInegretwYlSilrEdebUkbYhRsElf : w^nsInegretwYl ;aword Sil ;aword rEd ;aword e ;aword bUk ;aword bYhRsElf ;aword 
b^tItsvEriScrt@ndmostliSilbrIGIttumiIfYm : b^t ;aword Its ;aword vEriScrt ;aword @nd ;aword mostli ;aword SilbrIG ;aword It ;aword tumi ;aword IfYm ;aword 
wIlSitRnD^peJIzbYhRsElf : wIl ;aword Si ;aword tRnD^peJIz ;aword bYhRsElf ;aword 
SiltrYItdIpEndzIfDearDozTIkpeJIzY : SiltrY ;aword It ;aword dIpEndz ;aword If ;aword DearDozTIkpeJIzY ;aword 
xnlEsItsJ^stgr@bIG@ndD@tkYnd^vTIGSirixlik@nt : xnlEs ;aword Its ;aword J^stgr@bIG ;aword @nd ;aword D@tkYnd^vTIG ;aword Si ;aword rixli ;aword k@nt ;aword 
wEnSigattuD^partxbWt : wEn ;aword SigattuD^partxbWt ;aword 
mamizrIG : mamizrIG ;aword 
SirixlidIdxntIttuhRon : Si ;aword rixli ;aword dIdxnt ;aword It ;aword tuhRon ;aword 
duyuTIGkD@tstufcrhR : du ;aword yu ;aword TIGk ;aword D@ts ;aword tufcrhR ;aword 
YTIGkSiw^zJ^stkYndxbordwIDIt : YTIGk ;aword Si ;aword w^zJ^stkYndxbordwID ;aword It ;aword 
Sih@zD@tbUk : Si ;aword h@z ;aword D@t ;aword bUk ;aword 
YgathRD@tbUk : YgathRD@t ;aword bUk ;aword 
@ndwEnyugEttordzD^EndSiscrteluzIz : @nd ;aword wEn ;aword yugEttordzD^EndSiscrteluz ;aword Iz ;aword 
SidIdxntplewIDD^blaks : Si ;aword dIdxnt ;aword plewID ;aword D^blaks ;aword 
yRSiznatIntublaksvErim^CEnimor : yR ;aword Siz ;aword natIntublaksvErim^CEnimor ;aword 
EksEpttuTroDEm : EksEpt ;aword tu ;aword TroDEm ;aword 
duyuh@vEnifilIGwYDearnatvEriIntxrEstIGtuhREni : du ;aword yu ;aword h@vEnifilIGwYDearnatvEri ;aword Int ;aword xrEstIG ;aword tu ;aword hREni ;aword 
YdontnoSih@zelat^vblaks@thomb^tSi : Ydontno ;aword Si ;aword h@z ;aword elat ;aword ^vblaks@thom ;aword b^tSi ;aword 
SilYkstuTroDEmIfEniTIG : SilYks ;aword tu ;aword TroDEm ;aword IfEniTIG ;aword 
soYdontnowYnat : soYdontnowYnat ;aword 
SisimztutritD^dcg : Si ;aword simztutritD^dcg ;aword 
hWd^zSinow^ttudu : hWd^zSi ;aword no ;aword w^ttu ;aword du ;aword 
wElmebibxkczD^k@tsgEtfEdmebiSiz : wEl ;aword mebi ;aword bxkczD^k@tsgEtfEd ;aword mebi ;aword Siz ;aword 
YgEsItIzfr^mxbzRvIG : YgEs ;aword It ;aword Iz ;aword fr^mxbzRvIG ;aword 
Ydontrixlino : Ydont ;aword rixli ;aword no ;aword 
nEvRTctxbWtD@t : nEvRTctxbWt ;aword D@t ;aword 
Siw^zIntvErim^CIntuD^fontxde : Si ;aword w^zInt ;aword vErim^C ;aword In ;aword tuD^fontxde ;aword 
SinEvRh@zbIn : SinEvR ;aword h@z ;aword bIn ;aword 
wEnYk^mhir : wEn ;aword Yk^mhir ;aword 
s^mw^nsEdD@tfonJ^std^zxntlUkvErim^ClYkefon : s^mw^nsEdD@tfonJ^std^zxnt ;aword lUk ;aword vErim^ClYkefon ;aword 
Sih@ztOfonzb^tSid^zxntplewIDDoziDR : Si ;aword h@z ;aword tOfonzb^tSi ;aword d^zxntplewID ;aword DoziDR ;aword 
b^tSid^ztckanD^rilfonnW@ndDEnlYkhR : b^tSi ;aword d^ztckanD^rilfonnW ;aword @nd ;aword DEnlYkhR ;aword 
YgEsItdIpEndzanhRmud : YgEs ;aword It ;aword dIpEndzanhRmud ;aword 
mebiIfwaCIG : mebi ;aword IfwaCIG ;aword 
D@tkUdbi : D@tkUdbi ;aword 
Siw^zclbYhRsElfJ^stInhRrumtckIG^pestcrm : Si ;aword w^zclbYhRsElfJ^st ;aword In ;aword hRrumtckIG^pestcrm ;aword 
^vtckyunonat : ^vtckyunonat ;aword 
Ifyuk@nkclItD@t : If ;aword yu ;aword k@n ;aword kcl ;aword It ;aword D@t ;aword 
wIDDizwRdzyunEvR@skhRturIpitewRdso : wIDDiz ;aword wRdz ;aword yu ;aword nEvR@skhRturIpitewRd ;aword so ;aword 
yudontseTIGzlYk : yu ;aword dont ;aword seTIGzlYk ;aword 
k@nyuseDIs : k@n ;aword yu ;aword seDIs ;aword 
aryuxbWthWwElhRwRdzar : aryuxbWthWwElhRwRdzar ;aword 
wElYw^nthRtuh@vegUdprxn^nsieSxnb^tYfIgyR : wEl ;aword Yw^nthRtuh@v ;aword e ;aword gUdprxn^nsieSxn ;aword b^t ;aword YfIgyR ;aword 
YdontkerIfSid^zxntpRfcrmpRfIktli@ttuyirzold : Ydont ;aword kerIf ;aword Sid^z ;aword xntpRfcrmpRfIktli@ttuyirzold ;aword 
YTIGkItsnitD@tSiztckIG@ndseIGTIGz@nd : YTIGk ;aword It ;aword snit ;aword D@t ;aword Siz ;aword tckIG ;aword @nd ;aword seIG ;aword TIGz ;aword @nd ;aword 
SizprItivokxlanhRonYJ^stfIgyRYdr@DR : Siz ;aword prItivokxlanhR ;aword o ;aword nYJ^stfIgyRYdr@DR ;aword 
J^stEniTIGSiw^ntstuse@ndwRrixbWtD^ : J^stEniTIG ;aword Si ;aword w^ntstu ;aword se@ndwRrixbWtD^ ;aword 
IfestrenJRsEz : If ;aword e ;aword strenJRsEz ;aword 
k@nyuseD@t : k@n ;aword yu ;aword seD@t ;aword 
w^td^zSidu : w^td^zSi ;aword du ;aword 
yuminlYkxd^ltsD@tk^m@ndseD@ttuhR : yuminlYkxd^lts ;aword D@t ;aword k^m@nd ;aword seD@t ;aword tuhR ;aword 
YgEsbxkczYh@vhRdpipxlk^m^p@ndse : YgEs ;aword bxkczYh@vhRdpipxlk^m^p@ndse ;aword 
w^tsyUrnem : w^tsyUrnem ;aword 
@ndsoYmtiCIGhRtu@nsRwIDhRnem@ndprabxbli : @nd ;aword so ;aword YmtiCIGhR ;aword tu ;aword @nsRwIDhRnem ;aword @nd ;aword prabxbli ;aword 
SizvEritckxtIvtupipxlSilclwezsehY@ndbYbY : Siz ;aword vEritckxtIv ;aword tu ;aword pipxl ;aword Sil ;aword clwez ;aword sehY@nd ;aword bYbY ;aword 
SizclrEditckxtIv : Siz ;aword clrEditckxtIv ;aword 
soYgEsmebiJ^sttusehRnemb^tsimzlYkSi : so ;aword YgEs ;aword mebi ;aword J^sttus ;aword e ;aword hRnemb^tsimz ;aword lYkSi ;aword 
SizIntukWntIGDizdez@ndyuarIntukWntIG : Siz ;aword In ;aword tu ;aword kWntIGDizdez ;aword @nd ;aword yu ;aword arIn ;aword tu ;aword kWntIG ;aword 
w^tshRtukWnt : w^tshRtukWnt ;aword 
wiarmYh^zbxnd@zYarkyUrixsxbWtD@t : wi ;aword armYh^zbxnd@zYarkyUrixsxbWt ;aword D@t ;aword 
SikYndxpIkt^phRlEtRzkwYtspantenixs@ndY : SikYndxpIkt^phRlEtRzkwYtspantenixs@ndY ;aword 
b^tSikemhomfr^mhRplegrupkWntIGw^nde : b^tSi ;aword kemhomfr^mhRplegrupkWntIGw^nd ;aword e ;aword 
@ndYTctItw^zprYmErxlibxkcz^vrEpItISxnSipIkt^p : @nd ;aword YTctItw^zprYmErxlibxkcz^vrEpItISxn ;aword Si ;aword pIkt^p ;aword 
b^tmYh^zbxnd@ndYarw^ndxrIGIfSid^zxnt : b^t ;aword mYh^zbxnd@ndYarw^ndxrIG ;aword If ;aword Sid^zxnt ;aword 
nWtxdeSidIdxntdEmxnstretD@tvEriwEl : nWtxdeSi ;aword dId ;aword xntdEmxnstret ;aword D@t ;aword vEri ;aword wEl ;aword 
b^twischRpleIGbYhRsElfw^nnYt@ftRhidk^m : b^t ;aword wischR ;aword pleIG ;aword bYhRsElf ;aword w^nnYt@ftRhidk^m ;aword 
wiwRtckIGInD^kICIn@ndSiJ^stn@Crxliscrt^v : wi ;aword wRtckIG ;aword In ;aword D^kICIn ;aword @nd ;aword SiJ^st ;aword n@Crxliscrt^v ;aword 
@ndSih@ds^mwUdxnspulz@ndSih@dDEmInesEmisRkxl : @nd ;aword Si ;aword h@d ;aword s^mwUdxnspulz ;aword @nd ;aword Si ;aword h@d ;aword DEm ;aword In ;aword e ;aword sEmisRkxl ;aword 
somYh^zbxnd@ndYscrtexbzRvdhRfr^mD^dorwe@nd : so ;aword mYh^zbxnd@ndYs ;aword cr ;aword texbzRvdhRfr^mD^dorwe@nd ;aword 
@ndhiclsow^ndRdD^semTIG : @nd ;aword hicl ;aword so ;aword w^ndRdD^semTIG ;aword 
wih@dxntdIsk^stIttxgEDR : wi ;aword h@d ;aword xntdIsk^st ;aword It ;aword txgEDR ;aword 
@ndhiwEntWt@ndhi@skthRhWmEniDerwR@ndSi : @nd ;aword hi ;aword wEnt ;aword Wt@ndhi@skthR ;aword hWmEni ;aword DerwR@nd ;aword Si ;aword 
hirxmuvdw^n@ndhi@skthRhWmEniDerwR@ndSi : hirxmuvdw^n ;aword @nd ;aword hi@skthR ;aword hWmEni ;aword DerwR@nd ;aword Si ;aword 
fYv : fYv ;aword 
WErxpanwidIsYdIdD@trixliDerw^zs^mTIG : WErxpan ;aword wi ;aword dIsYdId ;aword D@t ;aword rixli ;aword Derw^zs^mTIG ;aword 
sowivyunowivEnkRIJdhRtukWntb^tY : so ;aword wivyu ;aword no ;aword wi ;aword vEnkRIJdhRtukWntb^tY ;aword 
yuno^DRD@nbiIGEkspozdtuDIsbUkwICIz : yu ;aword no ;aword ^DRD@nbiIG ;aword Ekspozd ;aword tu ;aword DIs ;aword bUk ;aword wICIz ;aword 
YminYh@dxnts@tdWn@ndtcthRw^ntuTri : Ymin ;aword Yh@d ;aword xnts@tdWn ;aword @nd ;aword tcthRw^ntuTri ;aword 
@ndniDRh@dhi@ndniDRh@dmYdctR : @ndniDR ;aword h@d ;aword hi ;aword @ndniDR ;aword h@dmYdctR ;aword 
@ndYvkwIzdD^bebisItR@ndSih@dxntiDRso : @nd ;aword YvkwIzdD^bebisItR ;aword @nd ;aword Si ;aword h@d ;aword xntiDR ;aword so ;aword 
Itss^mTIGyuarIntxrEstIdInD^@nsRtu : Its ;aword s^mTIG ;aword yu ;aword arIn ;aword txrEstId ;aword In ;aword D^@nsRtu ;aword 
crIfIfSizsof@sInetIdSilYz@ndkWntsbY : cr ;aword If ;aword If ;aword Siz ;aword sof@sInetId ;aword Si ;aword lYz@ndkWntsbY ;aword 
wIDplEZR : wID ;aword plEZR ;aword 
YminItgIvzhRgretplEZRtutukWnt@ndIf : Ymin ;aword It ;aword gIvzhRgret ;aword plEZR ;aword tu ;aword tu ;aword kWnt@nd ;aword If ;aword 
crgIvhR@nEnvYrxnmxntD@twIlprxmotIt : cr ;aword gIvhR@nEnvYrxnmxnt ;aword D@t ;aword wIl ;aword prxmotIt ;aword 
ItsnatfcrskIlztubi@thReJsoD@tw^n : Its ;aword natfcrskIlz ;aword tu ;aword bi ;aword @thReJ ;aword so ;aword D@tw^n ;aword 
wEnTIGzard^n^ndRD^DetEndtubi : wEn ;aword TIGz ;aword ard^n^ndRD^DetEnd ;aword tu ;aword bi ;aword 
Ysi : Ysi ;aword 
wEltxdeabviIsliYw^ztrYIGtugEthRtututu : wEl ;aword txdeabviIsliYw^ztrYIG ;aword tugEt ;aword hRtu ;aword tu ;aword tu ;aword 
@ndSis^bstItutIdD@t@tw^npOntYTIGk : @nd ;aword Si ;aword s^bstItutId ;aword D@t ;aword @tw^npOnt ;aword YTIGk ;aword 
D^kWntIGfcrD^k^lRz : D^kWntIGfcrD^k^lRz ;aword 
YdontrxmEmbRD@t : YdontrxmEmbR ;aword D@t ;aword 
Y@skthRhWmEninoY@skthRw^tk^lRD^kreanzwR : Y@skthR ;aword hWmEni ;aword no ;aword Y@skthRw^tk^lRD^kreanzwR ;aword 
m^DRgEtcfmYb@k : m^DRgEtcfmYb@k ;aword 
d^zSih@vblaks@thom : d^zSi ;aword h@vblaks@thom ;aword 
YvfRgatxn : YvfRgatxn ;aword 
yEsSid^z : yEs ;aword Sid^z ;aword 
d^zSiduEniTIGwIDDEm : d^zSi ;aword duEni ;aword TIG ;aword wIDDEm ;aword 
yEsSid^zxmezIGTIGzwIDD^fl@twUdxnblaks : yEs ;aword Si ;aword d^zxmezIG ;aword TIGz ;aword wID ;aword D^fl@twUdxnblaks ;aword 
SiplezwIDxkeZxnxlb^thRbebisItR : Si ;aword plezwIDxkeZxnxl ;aword b^t ;aword hRbebisItR ;aword 
@ndDearInkrEdxbliw^ndRfxl : @nd ;aword DearInkrEdxbliw^ndRfxl ;aword 
@ndSiEvrinYtkrietss^mTIGwIDDEm : @nd ;aword Si ;aword EvrinYtkriets ;aword s^mTIG ;aword wIDDEm ;aword 
@ndDearvEriIntxrEstIGblaks : @nd ;aword DearvEri ;aword Int ;aword xrEstIGblaks ;aword 
DeDeDegopRpxndIkyxlRcrDIswe : DeDeDegopRpxndIkyxlR ;aword cr ;aword DIswe ;aword 
Siw^zmorIntxrEstIdIndEstr^kSxnSiw^zlEs : Si ;aword w^zmorIn ;aword txrEstId ;aword IndEstr^kSxn ;aword Si ;aword w^zlEs ;aword 
d^zSiduD@t@thom : d^zSi ;aword du ;aword D@t ;aword @thom ;aword 
Sid^znath@vetOtElxfon@nd@zerIz^ltSi : Sid^z ;aword nath@v ;aword e ;aword tOtElxfon ;aword @nd ;aword @zerIz^lt ;aword Si ;aword 
@ndSid^ztcktuhRd@dirEgyxlRli : @nd ;aword Sid^z ;aword tcktuhRd@dirEgyxlRli ;aword 
@ndxkeZxnxlhRfrEndz : @ndxkeZxnxlhRfrEndz ;aword 
mYh^zbxndwUdnatlEtmibYhRw^n : mYh^zbxndwUdnatlEtmibYhRw^n ;aword 
