a	x
gratefully	gretfxli
grater	gretR
gratings	gretIGz
gravel	gr@vxl
gravity	gr@vIti
gravy	grevi
gray	gre
grayish	greIS
grease	gris
greasy	grisi
great	gret
greatest	gretxst
greatly	gretli
greats	grets
greece	gris
greedy	gridi
greek	grik
green	grin
greg	grEg
gregory	grEgcri
gregory's	grEgcriz
gretel	grEtxl
grew	gru
grey	gre
grief	grif
griffin	grIfxn
grill	grIl
grilled	grIld
grin	grIn
grinch	grInC
grinchie	grInCi
grind	grYnd
grinding	grYndIG
grip	grIp
grit	grIt
grits	grIts
gritty	grIti
groaning	gronIG
groceries	grosriz
grocery	grosri
gross	gros
grouch	grWC
groucho	grWCo
grouchy	grWCi
ground	grWnd
groundhog	grWndhcg
group	grup
groupings	grupIGz
grover	grovR
grow	gro
growing	groIG
growl	grWl
growled	grWld
growling	grWlIG
grown	gron
grownups	gron^ps
growth	groT
grumpy	gr^mpi
grundy	gr^ndi
grunt	gr^nt
grunted	gr^ntxd
grunting	gr^ntIG
grunts	gr^nts
guard	gard
guards	gardz
gucci	guCi
guess	gEs
guest	gEst
guests	gEsts
guide	gYd
guilty	gIlti
guitar	gItar
gum	g^m
gummies	g^miz
gump	g^mp
gums	g^mz
gun	g^n
guns	g^nz
gus	g^s
guy	gY
guy's	gYz
guys	gYz
guzenheit@s	gEzUntYt
gym	JIm
h@l	eC
ha	ha
habit	h@bIt
habits	h@bIts
had	h@d
hades	hediz
hadn't	h@dxnt
hafta	h@ftx
hag	h@g
haha	haha
hailey	heli
hair	hEr
hair's	hErz
hairbrush	hErbr^S
haircut	hErk^t
hairdo	hErdu
haired	hErd
hairie	hEri
hairies	hErriz
hairs	hErrz
hairy	hErri
hakunamatata@si	hxkUnxmxtatx
haley's	heliz
half	h@f
halfs	h@fs
halfsister	h@fsIstR
halfway	h@fwe
hall	hcxl
halle@si	halE
hallehallehalle@si	halEhalEhalE
hallelujah	halEluya
halloween	h@lowin
hallway	hclwe
halo	helo
ham	h@m
hamburger	h@mbRgR
hammer	h@mR
hammock	h@m^k
hand	h@nd
hand's	h@ndz
handbook	h@ndbUk
handed	h@ndId
handfuls	h@ndfUlz
handicapped	h@ndik@pt
handing	h@ndIG
handkerchiefs	h@GkRCifs
handle	h@ndxl
handlebars	h@ndxlbarz
handled	h@ndxld
handles	h@ndxlz
handling	h@ndxlIG
handmedown	h@ndmidWn
handmedowns	h@ndmidWnz
hands	h@ndz
handsie	h@ndzi
handsies	h@ndziz
handsome	h@ns^m
handy	h@ndi
handyman	h@ndim@n
hang	h@G
hanger	heGgR
hanger's	heGgRz
hangers	heGgRz
hanging	h@GIG
hangs	h@Gz
hannah	h@nx
hannah's	h@nxz
hansel	h@nsxl
happen	h@pxn
happened	h@pxnd
happening	h@pxnIG
happens	h@pxnz
happiest	h@pixst
happily	h@pxli
happiness	h@pinEs
happy	h@pi
happybirthday	h@pibRTde
hard	hard
harder	hardR
hardest	hardIst
hardheaded	hardhEdxd
hardly	hardli
hare	hEr
hare's	hErz
harmful	harmfxl
harmless	harmlEs
harmonica	harmanIkx
harness	harnIs
harry	hErri
harvard	harvRd
harvest	harvEst
has	h@z
hash	h@S
hasn't	h@zxnt
hassle	hezxl
hat	h@t
hatchling	h@CllG
hate	het
hated	hetId
hates	hets
hats	h@ts
have	h@v
haven't	h@vxnt
having	h@vIG
hawk	hck
hawn	hcn
hay	he
hayley	heli
haystack	hest@k
haystacks	hest@ks
hazard	h@zRd
he	hi
he'd	hid
he'll	hil
he's	hiz
head	hEd
headache	hEdek
headache	hEdek
headband	hEdb@nd
headband	hEdb@nd
headbutt	hEdb^t
headbutt	hEdb^t
headbutted	hEdb^txd
headbutted	hEdb^txd
headbutting	hEdb^tIG
headbutting	hEdb^tIG
headbutts	hEdb^ts
headbutts	hEdb^ts
headed	hEdxd
heading	hEdIG
headphones	hEdfonz
headphones	hEdfonz
heads	hEdz
heal	hil
heal	hil
heals	hilz
health	hElT
health	hElT
healthy	hElTi
healthy	hElTi
heap	hip
heap	hip
heaped	hipt
heaped	hipt
hear	hIr
heard	hRd
hearing	hIrIG
hearing	hIrIG
hears	hIrz
heart	hart
heart's	harts
heart's	harts
heartbeat	harbit
heartbeat	harbit
heartie	harti
heartie	harti
heat	hit
heat	hit
heated	hitxd
heated	hitxd
heater	hitR
heater	hitR
heater's	hitRz
heater's	hitRz
heating	hitIn
heating	hitIn
heaven	hEvEn
heaven	hEvEn
heavenly	hEvEnxli
heavenly	hEvEnxli
heavens	hEvxn
heavier	hEviR
heavier	hEviR
heavy	hEvi
hebrews	hibruz
hebrews	hibruz
hedgehog	hEJhag
hedgehog	hEJhag
hedgehog's	hEJhagz
hedgehog's	hEJhagz
hee	hi
hee	hi
heel's	hilz
heel's	hilz
heels	hilz
height	hYt
height	hYt
heinie	hYni
heinie	hYni
held	hEld
helicopter	hElikaptR
hell	hEl
hello	hElo
helmet	hElmIt
help	hElp
helped	hElpt
helper	hElpR
helpful	hElpfxl
helping	hElpIG
helps	hElps
helter	hEltR
hen	hEn
henry	hEnri
henry's	hEnriz
hens	hEnz
her	hR
hera	hErx
hercules	hRkyxliz
here	hIr
here're	hIrR
here's	hIrz
heres	hRz
heros	hRoz
hers	hRz
herself	hRsElf
hey	he
heybie	hebi
hi	hY
hicciuppies	hIki^piz
hiccihicciuppies	hIkihIki^piz
hiccup	hIk^p
hiccups	hIk^ps
hickies	hIkiz
hickieuppies	hIki^piz
hickory	hIkcri
hid	hId
hidden	hIdxn
hide	hYd
hideandseek	hYd@ndsik
hiding	hYdIG
high	hY
highchair	hYCEr
highchairs	hYCErz
higher	hYR
highest	hYEst
highfive	hYfYv
highfives	hYfYvz
hijklmnop@k	eCYJekeElEmEnopi
hike	hYk
hikers	hYkRz
hill	hIl
hills	hIlz
him	hIm
himself	hImsElf
hinge	hInJ
hint	hInt
hip	hIp
hippety	hIpEti
hippo	hIpo
hippopotamus	hIpopatxmxs
hippos	hIpoz
hips	hIps
hired	hYrd
his	hIz
hisself	hisElf
hit	hIt
hits	hIts
hitting	hItIG
hiya	hYyx
hmm	hxm
hmmthat's	hxmD@ts
ho	ho
hoe	ho
hog	hag
hogging	hagIG
hogwash	hagwaS
hokey	hoki
hold	hold
holder	holdR
holding	holdIG
holds	holdz
holdup	hold^p
hole	hol
holes	holz
holey	holi
holiday	hclIde
holler	hclR
hollering	hclRIG
holly	hcli
hollyhock	hclihak
hollywood	hcliwUd
holy	holi
home	hom
homemade	hommed
homes	homz
homework	homwRk
honestly	anEstli
honey	h^ni
honey's	h^niz
honeysuckle	h^nis^kxl
honk	haGk
honker	haGkR
honking	haGkIG
hoo@o	hu
hoochie	huCi
hoochoo	huCu
hood	hUd
hook	hUk
hooked	hUkt
hooking	hUkIG
hooks	hUks
hoop	hup
hoops	hups
hooray	hure
hoot	hut
hop	hap
hope	hop
hoped	hopt
hopeful	hopfxl
hopefully	hopfxlli
hopes	hops
hophop	haphap
hopie	hopi
hoping	hopIG
hopped	hapt
hoppety	hapIti
hopping	hapIG
hoppity	hapIti
hoppy	hapi
hops	haps
hopscotch	hapskaC
horn	hcrn
horner	hcrnR
horns	hcrnz
horrible	hcrIbxl
horribly	hcrIbxli
horse	hcrs
horseradish	hcrsr@dIS
horses	hcrsIz
horsie	hcrsi
horsie's	hcrsiz
horsieback	hcrsIb@k
horsies	hcrsIz
hose	hoz
hospital	haspItxl
hostas	hcstxz
hostile	hastIl
hosts	hosts
hot	hat
hotdog	hatdag
hotmitt	hatmIt
hots	hats
hound	hWnd
hour	WR
hours	WRz
house	hWs
housecoat	hWskot
houses	hWsIz
how	hW
how'd	hWd
how're	hWar
how's	hWz
however	hWEvR
howling	hWlIG
hows	hWz
huber	hubR
hubers	hubRz
hue	hu
huff	h^f
huffed	h^ft
hug	h^g
huge	hyuJ
hugged	h^gd
hugger	h^gR
hugging	h^gIG
huggy	h^gi
hugs	h^gz
huh	h^
hum	h^m
human	hyumxn
humming	h^mIG
humor	humR
hump	h^mp
humpty	h^mpti
hundred	h^ndrEd
hundreds	h^ndrEdz
hung	h^G
hungrier	h^GgriR
hungry	h^Ggri
hunhunh	^n^n
hunkamunka	h^nkxm^Gkx
hunt	h^nt
hunting	h^ntIG
hurley's	hRliz
hurray	hRre
hurried	hRrid
hurries	hRriz
hurry	hRri
hurrying	hRriIG
hurt	hRt
hurting	hRtIG
hurts	hRts
husband	h^zbxnd
husband's	h^zbxndz
hush	h^S
hut	h^t
hydrant	hYdrEnt
hydrogen	hYdrxJEn
hyena	hYinx
hymnal	hImnxl
hyper	hYpR
hypoallergenic	hYpo@lRJEnIk
i	Y
i'd	Yd
i'll	Yl
i'm	Ym
i've	Yv
i@l	Y
iago	yago
ice	Ys
ichabod	Ikxbad
icie	Ysi
icky	Iki
icy	Ysi
idea	Ydix
ideas	Ydixz
identify	YdEntxfY
idiot	Idixt
if	If
ignorance	IgnRxnts
ignore	Igncr
ignoring	IgncrIG
iguana	Igwanx
ijklmnop@k	YJekeElEmEnopi
ill	Il
illusory	IluzRi
illustrated	Il^stretEd
imaginary	Im@JxnEri
imagination	Im@JxneSxn
imagine	Im@JIn
imagining	Im@JInIG
imitate	ImItet
imitates	ImItets
imitating	ImitetIG
imitative	ImItetIv
immediately	ImidiItli
implies	ImplYz
important	Impcrtxnt
impossibility	ImpasxbIlxti
impossible	Impasxbxl
imposter	ImpxstR
impressed	ImprEst
improper	ImprapR
improperly	ImprapRli
in	In
inanimate	In@nxmIt
inappropriate	InxpropriIt
incessently	InsEsxntli
inches	InCxz
inching	InCIG
inchworm	InCwRm
including	InkludIG
income	Ink^m
increase	Inkris
incredible	InkrEdxbxl
incredibly	InkrEdxbli
indeed	Indid
indeedie	Indidi
independent	IndxpEndEnt
independently	IndxpEndEntli
indestructible	Indistr^ktxbxl
india	Indix
indian	Indixn
indians	Indixnz
indigo	IndIgo
individual	IndxvIJxl
individuals	IndxvIJxlz
indoors	Indcrz
inexpensive	InIkspEnsIv
infant	Infxnt
infantry	Infxntri
infection	InfEkSxn
infections	InfEkSxnz
infinity	InfInxti
inflicting	InflIktIG
influence	Influxnts
inform	Infcrm
informed	Infcrmd
informing	InfcrmIG
informs	Infcrmz
infrastructures	Infrxstr^kCRz
initiated	InISietId
injuries	InJRiz
injury	InJRi
ink	iGk
inning	InIG
innocent	Inxsxnt
innovative	InovetIv
input	InpUt
inside	InsYd
insist	InsIst
insistent	InsIstEnt
insists	InsIsts
inspire	InspYR
instance	Instxns
instantly	Instxntli
instead	InstEd
instructions	Instr^kSxnz
instrument	Instr^mGt
instruments	Instr^mGts
intense	IntEnts
intent	IntEnt
interaction	IntR@kSxn
interest	IntrIst
interested	IntrxstId
interesting	IntrxstIG
internet	IntRnEt
interpret	IntRprIt
interrupt	IntR^pt
into	Intu
intrigued	Intrigd
introduced	Intrxdust
invent	InvEnt
invented	InvEntxd
investigate	InvEstxget
investigator	InvEstxgetR
invisible	InvIsIbxl
invitation	InvIteSxn
invitations	InvIteSxnz
invited	InvYtxd
invites	InvYts
inviting	InvYtIG
involved	Invalvd
involves	Invalvz
iron	YRn
ironed	YRnd
ironing	YRnIG
irons	YRnz
irritable	Iritxbxl
irritate	IrItet
irritated	IrItetxd
irritates	IrItets
irritating	IrItetIG
is	Iz
isaac	YzIk
isabel	Izxbxl
isaiah	Isex
island	Ilxnd
island's	Ilxndz
isn't	Izxnt
israel	IzrExl
israelite	IzrelYt
it	It
it'd	Itxd
it'll	Itxl
it's	Its
italian	It@lyxn
italy	Itxli
itch	ItC
itches	ICIz
itching	ICIG
itchy	ICi
items	Ytxmz
its	Its
itself	ItsElf
itsy	Itsi
itty	Iti
ivy	Yvi
j	Je
j's	Jez
j@l	Je
jabbering	J@bRIG
jack	J@k
jacket	J@kIt
jackets	J@kIts
jackie	J@ki
jackrabbit	J@kr@bIt
jacks	J@ks
jacob	J@kxb
jacob's	J@kxbz
jafar	Jxfar
jafar's	Jxfarz
jail	Jel
jake	Jek
jam	J@m
james	Jemz
jammie@s	J@mi
jammies	J@miz
jane	Jen
jane's	Jenz
janie's	Jeniz
jar	Jar
jarred	Jard
jars	Jarz
jasmine	J@zmxn
jaw	Jc
jaws	Jcz
jay	Je
jaylen	Jelxn
jaylen's	Jelxnz
jealous	JElxs
jeans	Jinz
jeez	Jiz
jeff	JEf
jeff's	JEfs
jeffrey	JEfri
jeffrey's	JEfriz
jello	JElo
jelly	JEli
jellyfish	JElifIS
jemima	JOmYmx
jeremiah	JErxmYx
jeremy	JErxmi
jerk	JRk
jerome	Jxrom
jerry	jEri
jesse	JEsi
jesus	Jizxs
jesus's	Jizxsxz
jethro	JETro
jewelry	Juxlri
jewish	JuIS
jig	JIg
jiggety	JIgxti
jiggling	JIgxlIG
jill	JIl
jim	JIm
jim's	JImz
jimmy	JImi
jingle	JIGgxl
jingles	JIGgxlz
jingly	JIGgxli
job	Jab
jodie	Jodi
joe	Jo
joey	Joi
jog	Jcg
jogging	JcgIG
john	Jcn
john's	Jcnz
johnny	Jcni
johns	Jcnz
join	JOn
joke	Jok
joking	JokIG
jolly	Jcli
jonah	Jonx
jordan	Jcrdxn
jordan's	Jcrdxnz
jordan's	Jcrdxnz
joseph	Josxf
joshua	JaSux
joy	JO
joyful	JOfxl
judge	J^J
judy	Judi
judy's	Judiz
jug	J^g
juggling	J^gxlIG
juice	Jus
juices	Jusxz
juicie	Jusi
juicy	Jusi
julia	Julix
julie	Juli
july	JxlY
jumble	J^mbxl
jumbled	J^mbxld
jump	J^mp
jumped	J^mpt
jumper	J^mpR
jumping	J^mpIG
jumpingjack	J^mpIGJ@k
jumpingjacks	J^mpIGJ@ks
jumps	J^mps
june	Jun
june's	Junz
jungle	J^Ggxl
junior	JunyR
junk	J^Gk
junkajunka	J^GkxJ^Gkx
junky	J^Gki
just	J^st
jut	J^t
k	ke
k@l	ke
kaboom	kxbum
kaboomie@o	kxbumi
kanga	k@Ggx
kanga's	k@Ggxz
kangaroo	k@Ggxru
kangaroos	k@Ggxruz
kansas	k@nzxs
karate	kxrati
karen	kErxn
karen's	kErxnz
kate	ket
katherine	k@TrIn
katie	keti
katy	keti
kay	ke
kay's	kez
kayla	kelx
keaton	kitxn
keaton's	kitxnz
keep	kip
keeper	kipR
keeping	kipIG
keeps	kips
keisha	kiSx
kekek@p	keke
kelly	kEli
kelsey	kElsi
ken	kEn
kenny	kEni
kept	kEpt
kerchief	kRCif
kerchoo	kRCu
ketchup	kEC^p
kettle	kEtxl
kevin's	kEvxnz
key	ki
key's	kiz
keyboard	kibard
keys	kiz
kick	kIk
kickball	kIkbcl
kicked	kIkt
kicking	kIkIG
kicks	kIks
kid	kId
kid's	kIdz
kiddie	kIdi
kidding	kIdIG
kiddo	kIdo
kidney	kIdni
kids	kIdz
kids'	kIdz
kiki	kiki
kill	kIl
killed	kIld
killing	kIlIG
kills	kIlz
kim	kIm
kimani	kImani
kind	kYnd
kinda	kYndx
kindly	kYndli
kinds	kYndz
king	kIG
king's	kIGz
kingdom	kIGdxm
kings	kIGz
kiss	kIs
kissable	kIsxbxl
kissed	kIst
kisses	kIsIz
kissie	kIsi
kissies	kIsiz
kissing	kIsIG
kit	kIt
kitchen	kICxn
kite	kYt
kitten	kItxn
kittens	kItxnz
kitties	kItiz
kitty	kIti
kitty's	kItiz
kittycakes	kItikeks
kittycat	kItik@t
kittycats	kItik@ts
kittykitty	kItikIti
kiwi	kiwi
kleenex	klinEks
knack	n@k
knapsack	n@ps@k
knee	ni
kneedeep	nidip
kneel	nil
kneeling	nilIG
knees	niz
knew	nu
knick	nIk
knife	nYf
knifes	nYfs
knob	nab
knobs	nabz
knock	nak
knocked	nakt
knocking	nakIG
knocks	naks
knot	nat
know	no
knowledge	nalIJ
known	non
knows	noz
knox	naks
koala	koalx
kool	kul
krista	krIstx
kristen	krIstxn
kristen's	krIstxnz
kristin	krIstxn
kungfu	k^Gfu
kwanzaa	kwanzx
kyle	kYl
kyle's	kYlz
l	El
l@l	El
la	la
la@si	la
label	lebxl
labels	lebxlz
lace	les
laced	lest
laces	lesIz
lacing	lesIG
lack	l@k
lacking	l@kIG
ladder	l@dR
ladies	lediz
lady	ledi
lady's	lediz
ladybug	ledib^g
lake	lek
lamb	l@m
lambie	l@mi
lambs	l@mz
lame	lem
lamp	l@mp
land	l@nd
landed	l@ndEd
landing	l@ndIG
landings	l@ndIGz
lane	len
language	l@GgwIJ
lantern	l@ntRn
lap	l@p
lapful	l@pfxl
laps	l@ps
large	larJ
last	l@st
latch	l@tC
latches	l@tCxz
late	let
lately	letli
later	letR
latest	letIst
latin	l@tIn
laugh	l@f
laughed	l@ft
laughing	l@fIG
laughs	l@fs
laundromat	landrxm@t
laundry	lcndri
laura	lcrx
laura's	lcrxz
lauren	lcrxn
lauren's	lcrxnz
law	lc
lawn	lan
lawnmower	lanmowR
lawrence	lcrEnts
lay	le
layed	led
laying	leIG
lays	lez
lazy	lezi
leader	lidR
leading	lidIG
leaf	lif
leafy	lifi
leaking	likIG
lean	lin
leaned	lind
leaning	linIG
leap	lip
leaped	lipt
leaping	lipIG
leaps	lips
learn	lRn
learned	lRnd
learning	lRnIG
learns	lRnz
leash	liS
least	list
leave	liv
leaves	livz
leaving	livIG
led	lEd
ledge	lEJ
lee	li
left	lEft
leftie	lEfti
leftover	lEftovR
leftovers	lEftovRz
lefty	lEfti
leg	lEg
legend	lEJEnd
leggie	lEgi
leggings	lEgIGz
lego	lEgo
legos	lEgoz
legs	lEgz
lemme	lEmi
lemon	lEmxn
lemons	lEmxnz
lena	linx
lena's	linxz
leopard	lEpRd
less	lEs
let	lEt
let's	lEts
lets	lEts
letter	lEtR
letters	lEtRz
letting	lEtIG
lettuce	lEtxs
level	lEvxl
lever	lEvR
levis	livYz
lexington	lEksIGtxn
library	lIbrxri
lick	lIk
licked	lIkt
licking	lIkIG
licks	lIks
lid	lId
lid's	lIdz
lids	lIdz
lie	lY
lied	lYd
lies	lYz
life	lYf
lifesaver	lYfsevR
lifesavers	lYfsevRz
lift	lIft
liftie	lIfti
lifting	lIftIG
lifts	lIfts
light	lYt
light's	lYts
lightbulb	lYtb^lb
lightbulbs	lYtb^lbz
lighted	lYtxd
lightening	lYtnIG
lighter	lYtR
lightning	lYtnIG
lights	lYts
lightyear	lYtyIr
like	lYk
liked	lYkt
likely	lYkli
likes	lYks
liking	lYkIG
lil	lIl
lilies	lIliz
lillian	lIlixn
lily	lIli
lilypad	lIlip@d
lima	lYmx
limbs	lImz
lime	lYm
limit	lImIt
limits	lImIts
linda	lInd@
lindsey's	lIndziz
line	lYn
lined	lYnd
linen	lInEn
lingo	lIGgo
lining	lYnIG
links	lIGk
lint	lInt
lion	lYxn
lions	lYxnz
lip	lIp
lippie	lIpi
lips	lIps
lipstick	lIpstIk
liquid	lIkwId
liquids	lIkwIdz
lisa	lisx
list	lIst
listen	lIsxn
listened	lIsxnd
listening	lIsxnIG
listens	lIsxnz
lists	lIsts
lit	lIt
liter	litR
litter	lItR
litters	lItRz
little	lItxl
littler	lItxlR
littlest	lItxlEst
live	lIv
lived	lIvd
liver	lIvR
lives	lIvz
living	lIvIG
liz	lIz
lizard	lIZRd
lizard's	lIzRdz
load	lod
loads	lodz
loaf	lof
loan	lon
loans	lonz
loaves	lovz
lobster	lcbstR
lobsters	lcbstRz
lock	lak
locked	lakt
locking	lakIG
locks	laks
log	lcg
lola	lolx
lollipop	lalipap
lollipops	lalipaps
lolly	lcli
lolo	lolo
london	l^nd^n
lonely	lonli
lonesome	lonsxm
long	lcG
longed	lcGgd
longer	lcGgR
longest	lcGgEst
look	lUk
looka	lUkx
looked	lUkt
lookee	lUki
lookie	lUki
looking	lUkIG
lookit	lUkIt
looks	lUks
loom	lum
looneytoons	lunitunz
loons	lunz
loop	lup
looped	lupt
loops	lups
loose	lus
loosed	lust
loosen	lusxn
loosens	lusxnz
lop	lap
lopsided	lapsYdEd
lord	lcrd
lord's	lcrdz
lordie	lcrdi
lordy	lcrdi
loren	lcrxn
lori	loRi
lose	luz
loses	luzIz
losing	luzIG
lost	lcst
lot	lat
lot's	lats
lotion	loSxn
lots	lats
lou	lu
loud	lWd
louder	lWdR
loudie	lWdi
love	l^v
loved	l^vd
lovely	l^vli
lover	l^vR
loves	l^vz
lovie	l^vi
loving	l^vIG
lovings	l^vIGz
low	lo
lowed	lod
lower	lowR
luck	l^k
luckily	l^kxli
lucky	l^ki
lucy	lusi
luggage	l^gxJ
luggages	l^gxJxz
luis	lUwIs
lujah@si	luyx
lump	l^mp
lumpy	l^mpi
lunatic	lunxtIk
lunatics	lunxtIks
lunch	l^nC
lunchie	l^nCi
lunchmeat	l^nCmit
lunchtime	l^nCtYm
lure	lUr
luther	luTR
lydia	lIdix
lying	lYIG
lynn	lIn
lyricists	lIrIsIsts
lysol	lYscl
m	Em
m@l	Em
ma	ma
ma'am	m@m
ma@q	ma
mac	m@k
macarena	makxrEnx
macaroni	m@kxroni
macaroniandcheese	m@kxroni@ndCiz
macaronis	m@kxroniz
macdonald	mxkdanxld
macgruff	mxkgr^f
machine	mxSin
machines	mxSinz
mad	m@d
made	med
madman	m@dmxn
mag	m@g
magarina	m@gxrinx
magazine	m@gxzin
magazines	m@gxzin
magba	m@gbx
magenta	mxJEntx
maggarina	m@gxrInx
maggie	m@gi
maggie's	m@giz
magic	m@JIk
magical	m@gIkxl
magically	m@gIkli
magnet	m@gnIt
magnets	m@gnIts
mags	m@gz
magsterina	m@gstRInx
maid	med
maids	medz
mail	mel
mailbox	melbaks
mailboxes	melbaksxz
mailed	meld
mailing	melIG
maillady	melledi
mailman	melm@n
mails	melz
main	men
maine	men
mainly	menli
maintenance	mentxnxnts
make	mek
maked	mekt
makes	meks
makeup	mek^p
making	mekIG
malfunction	m@lf^GCxn
malfunctioned	m@lf^GCxnd
malfunctioning	m@lf^GCxnIG
malfunctions	m@lf^GCxnz
mall	mcl
mallet	m@lIt
malnutrition	m@lnutrISxn
malt	malt
malto	malto
mama	mamx
mama's	mamxz
mama@q	mamx
mamama	mamama
mamma	mamx
mammals	m@mxlz
mammy	m@mi
mamoo@q	mamu
man	m@n
manage	m@nEJ
managed	m@nEJd
mandy	m@ndi
mandy's	m@ndiz
maneuvering	mxnuvRIG
manger	menJR
mango	meGgo
manipulate	mxnIpyxlet
manniken	m@nIkIn
manually	m@nyuxli
many	mEni
map	m@p
marble	marbxl
march	marC
marcha	marCx
marcher	marCR
marches	marCIz
marco	marko
marco's	markoz
margaret	margrEt
margarine	marJxrIn
marianne's	m@rI@nz
marie	mxri
marie's	mxriz
marigolds	mErIgold
marino	mxrino
mark	mark
mark	mark
marked	markt
marker	markR
markers	markRz
market	markIt
marking	markIG
marks	marks
marks	marks
marmalade	marmxled
marni	marni
marriage	mErIJ
married	mErid
marry	mEri
mars	marz
marsh	marS
marshalls	marSxlz
marshmallow	marSmElo
marshmallows	marrSmEloz
martha	marrTx
mary	meri
mary's	meriz
mash	m@S
mashed	m@st
mashing	m@SIG
mason	mesxn
mass	m@s
massage	mxscZ
massive	m@sIv
master	m@stR
mastercard	m@stRCard
masterpieces	m@stRpisIz
mat	m@t
match	m@C
matches	m@CIz
matching	m@CIG
mate	met
mates	mets
material	mxtIrixl
matt	m@t
matter	m@tR
matters	m@tRz
matthew	m@Tyu
matthew's	m@Tyuz
mattress	m@trxs
maura	mcrx
maura's	mcrxz
max	m@ks
max's	m@ksxz
maximum	m@ksIm^m
may	me
maybe	mebi
mayonnaise	meyxnez
mayor	meyR
mcdonald	mxkdanxld
mcdonalds	mxkdanxldz
mcgregor	m^kgrEgR
mcgregor's	m^kgrEgRz
mcmuffin	mxkm^fIn
me	mi
me's	miz
meadow	mEdo
meal	mil
mealtime	miltYm
mean	min
meaned	mind
meanie	mini
means	minz
meant	mEnt
meantime	mintYm
meanwhile	minwYl
measure	mESUr
measures	mESUrz
measuring	mESUrIG
meat	mit
meatballs	mitbclz
meatloaf	mitlof
meaty	miti
mechanical	mxk@nIkxl
meddle	mEdxl
meddled	mEdxld
meddles	mEdxlz
meddlesome	mEdxlsxm
meddling	mEdxlIG
medical	mEdikxl
medicine	mEdIsxn
medicine's	mEdisxnz
medium	midixm
meeko	miko
meet	mit
meeting	mitIG
meets	mits
meg	mEg
mega	mEgx
megablocks	mEgxbl^ks
megan	mEgxn
melanie	mElxni
melissa	mElIsx
melon	mElxn
melt	mElt
meltdown	mEltdWn
melted	mEltEd
melting	mEltIG
melts	mElts
membrane	mEmbren
meme	meme
memee	mimi
memorize	mEmxrYz
memory	mEmxri
men	mEn
mention	mEnSxn
mentioned	mEnSxnd
meow	miW
meow@o	miW
merchant	mRCEnt
mercies	mRsiz
mercy	mRsi
mermaid	mRmed
merrily	mErxli
mesh	mES
mess	mEs
message	mEsxJ
messages	mEsxJxz
messed	mEst
messer	mEsR
messes	mEsxz
messing	mEsIG
messy	mEsi
met	mEt
metal	mEtxl
method	mETxd
mets	mEts
mew	mu
mi@si	mi
mice	mYs
michael	mYkxl
michael's	mYkxlz
micies	mYsiz
mickey	mIki
mickey's	mIkiz
mickie	mIki
micky	mIki
microphone	mYkrxfon
microphone's	mYkrxfonz
microphones	mYkrxfonz
microwave	mYkrxwev
middle	mIdxl
midmorning	mIdmcrnIG
midnight	mIdnYt
midwest	mIdwEst
might	mYt
mighty	mYti
mike	mYk
mike's	mYks
mikey	mYki
mikie	mYki
mile	mYl
miles	mYlz
military	mIlxtEri
milk	mIlk
milkie	mIlki
milkies	mIlkiz
milky	mIlki
million	mIlyxn
millions	mIlyxnz
mimi	mimi
mind	mYnd
mine	mYn
minestrone	mInxstroni
minnie	mIni
minnies	mIniz
minnows	mInoz
mint	mInt
minute	mInIt
minutes	mInIts
miranda	mIr@ndx
mirror	mIrR
mirrors	mIrRz
miserable	mIzRxbxl
misery	mIzxri
miss	mIs
missed	mIst
missing	mIsIG
mission	mISxn
missus	mIsIz
missy	mIsi
mistake	mIstek
mistaken	mIstekxn
mister	mIstR
mistreat	mIstrit
mistress	mIstrIs
mit@l	EmYti
mittens	mItxn
mix	mIks
mixed	mIkst
mixer	mIksR
mixes	mIksxz
mixing	mIksIG
mkay	xmke
mmhm	xmhxm
mm	xm
mhm	xmhxm
ohgoodness	ogUdnIs
mygoodness	mYgUdnIs
ohmygoodness	omYgUdnIs
guzenheit@snle	gxz^ndhYt
mms	xmz
mmm	xm
mmming	xmIG
mmms	xmz
mo	mo
moaning	monIG
moat	mot
mobile	mobxl
mockingbird	makIGbRd
mode	mod
model	mcdxl
modeling	mcdxlIG
moira	mOrx
molar	molR
mom	mam
mom'll	mamxl
mom's	mamz
moment	momnt
moments	momnts
momma	mcmx
momma's	mcmxz
mommies	mamiz
mommy	mami
mommy'll	mamixl
mommy's	mamiz
moms	mcmz
monday	m^nde
money	m^ni
moneys	m^ni
monica	manIkx
monitor	manItR
monkey	m^Gki
monkey's	m^Gkiz
monkeys	m^Gkiz
monst	manst
monster	manstR
monster's	manstRz
monsters	manstRz
monstrous	manstR^s
month	m^nT
months	m^nTs
moo	mu
moo@o	mu
mooboosh	mubuS
moocow	mukW
mood	mud
moody	mudi
mookaboosh	mukxbuS
moomoo	mumu
moomooshas	mumuSxz
moon	mun
moonlight	munlYt
moose	mus
moosh	muS
mooshaboosh	muSxbuS
mooshaboosha	muSxbuSx
mooshabooshas	muSxbuSxz
mooshas	muSxz
mooshasboosh	muSxzbuS
mooshboosh	muSbuS
mooshbooshas	muSbuSxs
mooshieboosh	muSibuS
mooshiebooshas	muSibuSxz
mooshmoosh	muSmuS
mooski	muski
mootas	mutxz
mootash	mut@S
mootie	muti
mootieboosh	mutibuS
mootiebooshas	mutibuSxz
mootiemoo	mutimu
mootiemooshas	mutimuSxz
mop	map
mopped	mapt
moppet	mapxt
